"Source:","/home/stevegt/lab/decoder-breakout/decoder-breakout/pcb/decoder-breakout.kicad_sch"
"Date:","Thu Nov  7 19:29:00 2024"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1 uF","C","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","Unpolarized capacitor","",""
"H1, H2, H3, H4","4","MountingHole","MountingHole","MountingHole:MountingHole_2.5mm_Pad","Mounting Hole without connection","",""
"J1, J2","2","SM04B-SRSS-TB_LF__SN_","SM04B-SRSS-TB_LF__SN_","SM04B-SRSS-TB(LF)(SN):JST_SM04B-SRSS-TB_LF__SN_","","",""
"J3","1","TBL009-254-08GY-2GY","TBL009-254-08GY-2GY","TBL009-254-08GY-2GY:CUI_TBL009-254-08GY-2GY","","",""
"JP3, JP4, JP5","3","Jumper_2_Bridged","Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Jumper, 2-pole, closed/bridged","",""
"Q1, Q2","2","BSS138","BSS138","Package_TO_SOT_SMD:SOT-23","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23","",""
"R1, R2, R3, R4, R5","5","300","R_US","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","Resistor, US symbol","",""
"R6, R7, R8, R9","4","10k","R_US","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","Resistor, US symbol","",""
"R10, R11","2","4.7k","R_US","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","Resistor, US symbol","",""
"U1","1","LS7866-S","LS7866-S","LS7866-S:SOIC127P600X175-14N","","",""
